,國文,英文,數學,社會,自然
0,14,11,10,15,7
1,6,11,6,12,7
2,6,10,8,10,12
3,7,6,7,8,9
4,8,15,14,10,11
5,8,12,12,8,9
6,7,15,14,14,12
7,7,7,14,10,13
8,9,7,12,14,9
9,15,11,14,13,9
10,11,6,12,7,10
11,9,15,8,15,9
12,15,15,7,8,11
13,8,6,6,15,12
14,12,8,13,13,13
15,7,12,15,12,15
16,8,11,8,11,6
17,13,7,13,9,10
18,14,13,13,9,11
19,12,13,11,6,14
20,9,15,13,11,14
21,6,7,6,8,9
22,12,12,8,12,11
23,14,6,10,12,9
24,6,12,15,6,10
25,10,9,6,9,9
26,8,11,11,6,10
27,12,6,8,14,13
28,7,10,13,10,12
29,6,12,15,7,7
30,13,6,6,14,10
31,14,11,7,9,8
32,14,9,9,8,10
33,13,11,7,10,10
34,10,6,6,13,9
35,15,6,13,12,15
36,12,14,7,14,10
37,14,10,11,6,9
38,7,6,14,9,9
39,7,13,11,12,8
40,15,15,14,14,13
41,11,11,15,6,15
42,14,13,10,10,15
43,7,13,14,8,11
44,11,6,13,13,6
45,8,14,10,11,8
46,15,9,13,11,14
47,14,10,12,15,9
48,15,14,8,9,13
49,13,15,14,15,13
50,7,13,7,13,9
51,11,6,13,11,7
52,9,8,14,8,7
53,14,7,13,12,14
54,9,12,7,11,8
55,11,8,6,14,10
56,13,13,7,10,13
57,7,7,12,14,10
58,13,15,14,9,12
59,10,15,15,6,11
60,7,7,9,14,14
61,11,12,14,11,10
62,10,7,6,12,13
63,8,6,13,10,9
64,14,15,7,10,11
65,12,6,8,12,6
66,11,9,7,15,11
67,11,8,8,10,6
68,15,11,11,10,9
69,7,13,14,12,10
70,12,10,9,11,15
71,10,7,9,15,7
72,9,9,15,14,10
73,8,7,14,10,6
74,10,10,7,13,13
75,12,11,14,12,11
76,7,9,12,14,11
77,7,10,6,8,13
78,10,6,8,13,6
79,7,8,8,12,8
80,12,14,7,10,14
81,12,7,10,6,11
82,15,10,13,12,10
83,14,14,9,11,15
84,6,14,8,7,8
85,12,10,6,8,13
86,13,14,6,9,9
87,14,8,14,6,13
88,6,11,9,10,8
89,14,10,9,11,13
90,7,7,14,13,12
91,12,6,8,9,8
92,12,13,11,12,9
93,9,9,9,15,11
94,14,6,11,8,9
95,7,12,10,11,7
96,6,8,11,9,11
97,11,6,7,10,9
98,12,12,7,9,15
99,6,6,8,6,7
